parent_code,parent_name,child_code,child_name,holding_pct
8214,AOKIホールディングス,3326,ランシステム,
9090,AZ-COM丸和ホールディングス,9325,ファイズホールディングス,
2685,アンドエスティHD,3057,ゼットン,
4401,ADEKA,4997,日本農薬,
9405,朝日放送グループホールディングス,3686,ディー・エル・イー,
6030,アドベンチャー,6548,旅工房,
6770,アルプスアルパイン,9055,アルプス物流,
8267,イオン,2653,イオン九州,
8267,イオン,8570,イオンフィナンシャルサービス,
8267,イオン,9787,イオンディライト,
8267,イオン,4343,イオンファンタジー,
8267,イオン,7512,イオン北海道,
8267,イオン,8905,イオンモール,
8267,イオン,3141,ウエルシアホールディングス,
8267,イオン,2698,キャンドゥ,
8267,イオン,9876,コックス,
8267,イオン,7450,サンデー,
8267,イオン,2686,ジーフット,
8267,イオン,8278,フジ,
8267,イオン,8198,マックスバリュ東海,
8267,イオン,9946,ミニストップ,
8267,イオン,3222,ユナイテッド・スーパーマーケット・ホールディングス,
8001,伊藤忠商事,8133,伊藤忠エネクス,
8001,伊藤忠商事,2692,伊藤忠食品,
8001,伊藤忠商事,2281,プリマハム,
8001,伊藤忠商事,4215,タキロンシーアイ,
6191,エアトリ,4059,まぐまぐ,
2927,AFC-HDアムスライフサイエンス,8254,さいか屋,
5201,AGC,4107,伊勢化学工業,
5122,オカモト,5395,理研コランダム,
8473,SBIホールディングス,3271,THEグローバル社,
8473,SBIホールディングス,7326,SBIインシュアランスグループ,
8473,SBIホールディングス,5834,SBIリーシングサービス,
8473,SBIホールディングス,4765,SBIグローバルアセットマネジメント,
8473,SBIホールディングス,7198,SBIアルヒ,
8473,SBIホールディングス,165A,SBIレオスひふみ,
8473,SBIホールディングス,7163,住信SBIネット銀行,
2292,S FOODS,7614,オーエムツーネットワーク,
5016,JX金属,5727,東邦チタニウム,
6533,Orchestra Holdings,4178,Sharing Innovations,
3288,オープンハウスグループ,3254,プレサンスコーポレーション,
7485,岡谷鋼機,7624,NaITO,
6645,オムロン,4483,JMDC,
8591,オリックス,6662,ユビテック,
1942,関電工,1777,川崎設備工業,
7751,キヤノン,7739,キヤノン電子,
7751,キヤノン,8060,キヤノンマーケティングジャパン,
4834,キャリアバンク,3802,エコミック,
2809,キユーピー,2830,アヲハタ,
2809,キユーピー,9369,キユーソー流通システム,
2503,キリンホールディングス,4151,協和キリン,
9041,近鉄グループホールディングス,8244,近鉄百貨店,
